Index,No,Description,Description_Images,Factory Suggestion,Factory_Suggestion_Images,STG Proposal,STG_Proposal_Images,Customer Decision,Customer_Decision_Images,EQ Status,Customer Name,Customer P/N,Factory P/N,Date,Base Material,Solder Mask,Via Plugging Type,Engineer Name,Panel Size,STG P/N,FileName,Previous Case,Closed Date
0,1,"Rongda H-9100 8G is defined in file, but it's not our normal material",2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_1.png,"Suggestion:
use Rongda H-9100 6GHB glossy green with Halogen free",2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_1.png,,2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_1.png,confirmed,2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_1.png,Closed,Becom.AT.Hochstrass, UBL3928--A,JA2C719EA0,2022-08-22 00:00:00,FR4 S1170G Halogen free with TG170,see Q1,,Sunny Yang,,04R012526.A00,2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0).xlsx,True,2025-01-01
1,2,About the markings,2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_2.png;2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_3.png,"We'll plase customer's number,PCB-no. and date code in pcs on bot S/M layer, details refer to below











and also place UL markings (CML-G 7DF E330796  c兄us 94V-0) in breakaway on bot S/M layer",2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_2.png;2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_3.png,,2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_2.png;2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_3.png,CML MN: confirmed,2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_2.png;2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_3.png,Closed,Becom.AT.Hochstrass, UBL3928--A,JA2C719EA0,2022-08-22 00:00:00,FR4 S1170G Halogen free with TG170,see Q1,,Sunny Yang,,04R012526.A00,2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0).xlsx,True,2025-01-01
2,3,No attributes for holes ,2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_4.png,"Suggestion:
control as picture below









",2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_4.png,,2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_4.png,CML MN: confirmed,2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_4.png,Closed,Becom.AT.Hochstrass, UBL3928--A,JA2C719EA0,2022-08-22 00:00:00,FR4 S1170G Halogen free with TG170,see Q1,,Sunny Yang,,04R012526.A00,2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0).xlsx,True,2025-01-01
3,4,As snapshot below，the tolerance of holes is too tight,2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_5.png,"suggestion：
NPTH and NPTH slot：relax +0.05/0 to +0.1/-0
PTH:relax +0.1/-0 to +0.15/-0",2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_5.png,,2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_5.png,"you can relax NPTH to +/-0.05

you can relax PTH to +/-0.075",2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_5.png,Closed,Becom.AT.Hochstrass, UBL3928--A,JA2C719EA0,2022-08-22 00:00:00,FR4 S1170G Halogen free with TG170,see Q1,,Sunny Yang,,04R012526.A00,2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0).xlsx,True,2025-01-01
4,5,As snapshot below，we can't  inspect  some dimentions,2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_6.png,Suggestion： ignore them,2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_6.png,,2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_6.png,ignore them,2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_6.png,Closed,Becom.AT.Hochstrass, UBL3928--A,JA2C719EA0,2022-08-22 00:00:00,FR4 S1170G Halogen free with TG170,see Q1,,Sunny Yang,,04R012526.A00,2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0).xlsx,True,2025-01-01
5,6,The tolerance of hole to outline is only +/-0.08mm，we can't meet it,2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_7.png,Suggestion： relax it from +/-0.08mm to +/-0.13mm,2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_7.png,,2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_7.png,confirmed,2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_7.png,Closed,Becom.AT.Hochstrass, UBL3928--A,JA2C719EA0,2022-08-22 00:00:00,FR4 S1170G Halogen free with TG170,see Q1,,Sunny Yang,,04R012526.A00,2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0).xlsx,True,2025-01-01
6,7,some position tolerance is too tight,2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_8.png;2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_9.png;2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_10.png;2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_11.png;2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_25.png,"Suggestion：
control hole to hole as +/-0.076mm",2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_8.png;2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_9.png;2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_10.png;2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_11.png;2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_25.png,,2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_8.png;2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_9.png;2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_10.png;2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_11.png;2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_25.png,confirmed,2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_8.png;2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_9.png;2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_10.png;2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_11.png;2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_25.png,Closed,Becom.AT.Hochstrass, UBL3928--A,JA2C719EA0,2022-08-22 00:00:00,FR4 S1170G Halogen free with TG170,see Q1,,Sunny Yang,,04R012526.A00,2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0).xlsx,True,2025-01-01
7,8,"About the feautres on breakaway，we have questions below：
1.about the fiducial markings， there is a conflict in drawing










2.some features without position on X-axle and Y-axle in drawing
3.we'll place text on top S/M layer for note 5 and note 6,details refer to below








4.For the note 3,note 4 and Becom panel-DMC, we'll only keep these area with covering solder mask and no copper, not need to place any other content








5.About  the area for wirebond-testing, we'll add it with copper and without solder mask
",2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_12.png,"Suggestion：
1.to build fiducial markings following note 1 and ignore picture below







2.Place these fearures in routhly the breakaway according to the drawing

3.please confirm 3,4and 5



",2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_12.png,,2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_12.png,"BECOM DS: 1. OK

2. Don't understand the question
3. Confirmed
4. Follow this instruction: 




5. Ignore it, no need for wirebond-testing




",2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_12.png,Closed,Becom.AT.Hochstrass, UBL3928--A,JA2C719EA0,2022-08-22 00:00:00,FR4 S1170G Halogen free with TG170,see Q1,,Sunny Yang,,04R012526.A00,2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0).xlsx,True,2025-01-01
8,9,"In order to avoid mistake, please confirm that we only need to  place 63F on BOT S/M layer according drawing",2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_13.png,Pleae confirm,2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_13.png,,2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_13.png,"BECOM DS: Confirmed
",2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_13.png,Closed,Becom.AT.Hochstrass, UBL3928--A,JA2C719EA0,2022-08-22 00:00:00,FR4 S1170G Halogen free with TG170,see Q1,,Sunny Yang,,04R012526.A00,2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0).xlsx,True,2025-01-01
9,10,these dimensions in drawing below can not be measured on board,2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_14.png;2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_15.png,"Suggestion
ignore it ",2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_14.png;2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_15.png,,2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_14.png;2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_15.png,CML MN: confirmed,2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_14.png;2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_15.png,Closed,Becom.AT.Hochstrass, UBL3928--A,JA2C719EA0,2022-08-22 00:00:00,FR4 S1170G Halogen free with TG170,see Q1,,Sunny Yang,,04R012526.A00,2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0).xlsx,True,2025-01-01
